date,open,high,low,close,volume
2024-05-21 11:11:00,211.5,211.5,211.5,211.5,400
2024-05-21 11:12:00,211.525,211.525,211.525,211.525,100
2024-05-21 11:13:00,211.51,211.51,211.49,211.49,599
2024-05-21 11:14:00,211.54,211.59,211.46,211.47,3334
2024-05-21 11:15:00,211.51,211.51,211.43,211.43,928
2024-05-21 11:16:00,211.51,211.56,211.45,211.45,1174
2024-05-21 11:17:00,211.44,211.44,211.43,211.43,200
2024-05-21 11:18:00,211.42,211.42,211.42,211.42,100
2024-05-21 11:20:00,211.41,211.41,211.41,211.41,450
2024-05-21 11:21:00,211.38,211.38,211.35,211.35,300
2024-05-21 11:22:00,211.34,211.34,211.34,211.34,100
2024-05-21 11:23:00,211.49,211.49,211.38,211.415,1175
2024-05-21 11:24:00,211.48,211.5,211.415,211.5,993
2024-05-21 11:25:00,211.49,211.49,211.49,211.49,100
2024-05-21 11:28:00,211.545,211.55,211.44,211.475,700
2024-05-21 11:29:00,211.465,211.465,211.41,211.41,949
2024-05-21 11:30:00,211.425,211.425,211.36,211.36,838
2024-05-21 11:31:00,211.415,211.415,211.3759,211.3759,530
2024-05-21 11:32:00,211.35,211.35,211.35,211.35,200
2024-05-21 11:33:00,211.35,211.35,211.35,211.35,200
2024-05-21 11:35:00,211.355,211.355,211.32,211.35,300
2024-05-21 11:36:00,211.4,211.4,211.34,211.38,1478
2024-05-21 11:37:00,211.35,211.35,211.35,211.35,1000
2024-05-21 11:38:00,211.34,211.34,211.3,211.3124,579
2024-05-21 11:39:00,211.34,211.34,211.33,211.33,200
2024-05-21 11:40:00,211.3,211.3,211.015,211.02,6148
2024-05-21 11:41:00,211.0,211.0,211.0,211.0,100
2024-05-21 11:43:00,211.055,211.055,211.055,211.055,300
2024-05-21 11:44:00,211.055,211.15,211.055,211.15,1049
2024-05-21 11:45:00,211.16,211.16,211.05,211.05,604
2024-05-21 11:46:00,211.02,211.02,211.02,211.02,154
2024-05-21 11:47:00,211.055,211.1292,210.93,210.93,2895
2024-05-21 11:48:00,210.89,210.965,210.89,210.965,200
2024-05-21 11:49:00,210.995,211.055,210.92,210.92,600
2024-05-21 11:50:00,210.92,210.97,210.89,210.93,769
2024-05-21 11:51:00,210.88,211.0,210.88,211.0,200
2024-05-21 11:52:00,210.9339,210.9339,210.9339,210.9339,100
2024-05-21 11:53:00,210.94,210.94,210.91,210.91,244
2024-05-21 11:54:00,211.0,211.09,210.965,211.09,1915
